avatar,fullname,id,images/0,images/1,images/2,images/3,isQuote,isRetweet,likes,links/0,links/1,links/2,links/3,links/4,links/5,links/6,links/7,links/8,links/9,links/10,links/11,links/12,links/13,links/14,links/15,links/16,quotedTweet/avatar,quotedTweet/fullname,quotedTweet/images/0,quotedTweet/images/1,quotedTweet/images/2,quotedTweet/links/0,quotedTweet/links/1,quotedTweet/links/2,quotedTweet/links/3,quotedTweet/links/4,quotedTweet/links/5,quotedTweet/links/6,quotedTweet/links/7,quotedTweet/links/8,quotedTweet/links/9,quotedTweet/links/10,quotedTweet/text,quotedTweet/timestamp,quotedTweet/url,quotedTweet/username,quotes,replies,retweets,searchQuery,text,timestamp,url,user/avatar,user/description,user/joinDate,user/location,user/totalFollowers,user/totalFollowing,user/totalLikes,user/totalTweets,user/url,user/userFullName,user/username,user/verified,user/website,username,verified
,,1463858131067289602,,,,,False,False,0,https://twitter.com/nawabmalikncp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,phd,whole family tree microscope pod project,2021-11-25T13:12:00.000Z,https://twitter.com/SurinderMalik5/status/1463858131067289602,https://abs.twimg.com/sticky/default_profile_images/default_profile.png,,2016-05-16T14:05:00.000Z,"Chandigarh, India",58,908,9265,5001,https://twitter.com//SurinderMalik5,Surinder Malik,@SurinderMalik5,False,,,False
,,1455924525309120513,,,,,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,phd,friend szabust also saying goddamn educated pod hai,2021-11-03T15:47:00.000Z,https://twitter.com/sumeetism/status/1455924525309120513,https://pbs.twimg.com/profile_images/1656932532196368384/TJseV7-f.jpg,"A lil weird,A lil crack,a lil imperfect,Cricket Buff & Political Satirist.Female chauvinist. UN Awardee for most non serious person on earth",2009-09-29T02:46:00.000Z,On a zoom call,1197,895,8231,48756,https://twitter.com//sumeetism,Sumeet Gill بے مقصد گھومنا,@sumeetism,False,dickoogill.blogspot.in,,False
,,1453639900100661248,,,,,False,False,2,https://twitter.com/pluralsbharat,https://twitter.com/AMANKUM42953532,https://twitter.com/jitanrmanjhi,https://twitter.com/laluprasadrjd,https://twitter.com/yadavtejashwi,https://twitter.com/iChiragPaswan,https://twitter.com/VnsDeepakpatel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,phd,pod,2021-10-28T08:28:00.000Z,https://twitter.com/Durgesh41864870/status/1453639900100661248,https://pbs.twimg.com/profile_images/1544281858128547840/AkGoioAu.jpg,"Deputy Secretary 

(Logistics), Saran Division The Plurals पार्टी ( पता नहीं अब पार्टी मे है या नहीं )

समाजिक कार्यकर्ता 

cont:-  7087399639",2020-08-19T18:20:00.000Z,"Gopalganj, India",116,102,1406,2803,https://twitter.com//Durgesh41864870,Er. Durgesh Kumar,@Durgesh41864870,False,,,False
,,1410535723434799107,,,,,False,False,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,Undergraduate,seats undergraduate postgraduate courses available sathyabhama ist chennai deemed university pods full scholarship covering accessible hostel facility also apply online unto 090721,2021-07-01T09:48:00.000Z,https://twitter.com/HaryanaRpwd/status/1410535723434799107,https://pbs.twimg.com/profile_images/1344336283078803456/NYgQLDZ3.jpg,"The official Twitter handle of State Commission for the Persons with Disabilities, Haryana",2020-12-30T17:21:00.000Z,"Chandigarh, India",4054,92,21364,7566,https://twitter.com//HaryanaRpwd,Commissioner Disabilities Haryana,@HaryanaRpwd,False,,,False
,,1432626176107823123,https://pbs.twimg.com/media/E-G16eBX0AQOJyD.jpg,,,,False,False,20,https://twitter.com/UnivofDelhi,https://twitter.com/search?q=%23RejectNEP,https://twitter.com/search?q=%23NoTOFYUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,4,Undergraduate,four year undergraduate program highly problematic kill learning process large section students coming lower income background difficult continue education circumstances stop rejected notofyup,2021-08-31T08:47:00.000Z,https://twitter.com/SfiDelhi/status/1432626176107823123,https://pbs.twimg.com/profile_images/1630262014756139008/I0ubUmWz.jpg,"Official Twitter Account of Students' Federation of India - Delhi State Committee
To join, fill the following form:
forms.gle/GmLmMb9CfKko7bZo6",2017-04-18T15:21:00.000Z,"New Delhi, India",10993,318,6956,4161,https://twitter.com//SfiDelhi,SFI Delhi,@SfiDelhi,False,sfidelhi.wordpress.com/,,False
,,1450839025850322944,https://pbs.twimg.com/media/FCJqZ2bVcAsCvBt.jpg,,,,False,False,0,https://twitter.com/yogrishiramdev,https://twitter.com/pluralsbharat,https://twitter.com/Alkasingh_gaya,https://twitter.com/AmitAlo72993519,https://twitter.com/mukesh_phd,https://twitter.com/VnsDeepakpatel,https://twitter.com/ashasin96498791,https://twitter.com/AMANKUM42953532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,phd,tweet,2021-10-20T14:59:00.000Z,https://twitter.com/Durgesh41864870/status/1450839025850322944,https://pbs.twimg.com/profile_images/1544281858128547840/AkGoioAu.jpg,"Deputy Secretary 

(Logistics), Saran Division The Plurals पार्टी ( पता नहीं अब पार्टी मे है या नहीं )

समाजिक कार्यकर्ता 

cont:-  7087399639",2020-08-19T18:20:00.000Z,"Gopalganj, India",116,102,1406,2803,https://twitter.com//Durgesh41864870,Er. Durgesh Kumar,@Durgesh41864870,False,,,False
,,1452634106706096133,https://pbs.twimg.com/media/FCjLAwWVIAAcYGA.jpg,,,,False,False,0,https://twitter.com/search?q=%23phd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,phd,pod,2021-10-25T13:52:00.000Z,https://twitter.com/iAm_D_ForDeepak/status/1452634106706096133,https://pbs.twimg.com/profile_images/1554348639220248576/Nq3sFULi.jpg,Phd in CSE,2011-04-11T14:54:00.000Z,bathinda,82,560,866,1819,https://twitter.com//iAm_D_ForDeepak,Dr. Deepak Garg,@iAm_D_ForDeepak,False,facebook.com/deepak992?ref=t…,,False
,,1476527643860221956,,,,,False,False,0,https://twitter.com/MCChandigarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,School,pal note flock cows starting jagatpura village near sec seen passing broad pop model school sec and market around 1030 1130 night everyday's highly dangerous vehicles passing broad kindly take action,2021-12-30T12:16:00.000Z,https://twitter.com/BikramJ94342020/status/1476527643860221956,https://pbs.twimg.com/profile_images/1664183750111166464/xGAKmLUr.jpg,We all tourists in this world God is our tour operator he has fixed all our routes destinations be fair in your journey end of the day we have to go empty hands,2020-06-20T10:24:00.000Z,India 🇮🇳,53,629,5354,2783,https://twitter.com//BikramJ94342020,Bikram Jeet Singh,@BikramJ94342020,False,,,False
,,1476906635109056512,,,,,False,False,0,https://www.instagram.com/p/CYJhPQiPvk832SMvcEMHLe9kLr9CI1-rZ9bhzk0/?utm_medium=twitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,University,2021 punjab university chandigarh,2021-12-31T13:22:00.000Z,https://twitter.com/manrajsingh1391/status/1476906635109056512,https://pbs.twimg.com/profile_images/1685718934207574016/12OhfTyR.jpg,COLLEGE STUDENT,2021-12-01T16:44:00.000Z,,2,43,31,62,https://twitter.com//manrajsingh1391,MANRAJ SINGH VIRDI 1391,@manrajsingh1391,False,,,False
,,1448843326841516034,,,,,False,False,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,phd,common weakness doctoral days lot share discuss fact new ideas also emerge discussions eureka types,2021-10-15T02:49:00.000Z,https://twitter.com/drqayumiitk/status/1448843326841516034,https://pbs.twimg.com/profile_images/1304678440138715138/mOSc-Lp3.jpg,AGMUT• Forest• Wildlife• Environment• RE Solar• IITK Grad• JNU• JNV• PhD Bioinformatics GIS• National Awardee eGovernance• Forest Fire• Nature Conservation,2013-07-12T10:29:00.000Z,"Andaman And Nicobar, India",17219,586,17558,5021,https://twitter.com//drqayumiitk,"Dr Abdul Qayum, IFS",@drqayumiitk,False,nceg.gov.in/nceg_header/file…,,False
